k,n,metric,value,seqMode
5,0,"strongMemoTree",46,"unary-cover-no-reassoc"
5,0,"strongMemoActiveRows",0,"unary-cover-no-reassoc"
5,0,"strongMemoActiveKeys",0,"unary-cover-no-reassoc"
5,0,"strongMemoActiveMaxBucket",0,"unary-cover-no-reassoc"
5,0,"strongMemoActivePairBudget",0,"unary-cover-no-reassoc"
5,0,"strongMemoStates",1,"unary-cover-no-reassoc"
5,0,"strongMemoSplitProbes",0,"unary-cover-no-reassoc"
5,0,"strongMemoSpanBound",46,"unary-cover-no-reassoc"
5,0,"strongMemoSplitBound",46,"unary-cover-no-reassoc"
5,4,"strongMemoTree",474,"unary-cover-no-reassoc"
5,4,"strongMemoActiveRows",10,"unary-cover-no-reassoc"
5,4,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,4,"strongMemoActiveMaxBucket",9,"unary-cover-no-reassoc"
5,4,"strongMemoActivePairBudget",82,"unary-cover-no-reassoc"
5,4,"strongMemoStates",78,"unary-cover-no-reassoc"
5,4,"strongMemoSplitProbes",57,"unary-cover-no-reassoc"
5,4,"strongMemoSpanBound",1150,"unary-cover-no-reassoc"
5,4,"strongMemoSplitBound",5750,"unary-cover-no-reassoc"
5,8,"strongMemoTree",730,"unary-cover-no-reassoc"
5,8,"strongMemoActiveRows",25,"unary-cover-no-reassoc"
5,8,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,8,"strongMemoActiveMaxBucket",24,"unary-cover-no-reassoc"
5,8,"strongMemoActivePairBudget",577,"unary-cover-no-reassoc"
5,8,"strongMemoStates",196,"unary-cover-no-reassoc"
5,8,"strongMemoSplitProbes",225,"unary-cover-no-reassoc"
5,8,"strongMemoSpanBound",3726,"unary-cover-no-reassoc"
5,8,"strongMemoSplitBound",33534,"unary-cover-no-reassoc"
5,12,"strongMemoTree",771,"unary-cover-no-reassoc"
5,12,"strongMemoActiveRows",31,"unary-cover-no-reassoc"
5,12,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,12,"strongMemoActiveMaxBucket",30,"unary-cover-no-reassoc"
5,12,"strongMemoActivePairBudget",901,"unary-cover-no-reassoc"
5,12,"strongMemoStates",362,"unary-cover-no-reassoc"
5,12,"strongMemoSplitProbes",569,"unary-cover-no-reassoc"
5,12,"strongMemoSpanBound",7774,"unary-cover-no-reassoc"
5,12,"strongMemoSplitBound",101062,"unary-cover-no-reassoc"
5,16,"strongMemoTree",820,"unary-cover-no-reassoc"
5,16,"strongMemoActiveRows",36,"unary-cover-no-reassoc"
5,16,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
