k,n,metric,value,seqMode
5,0,"strongTree",46,"unary-cover-no-reassoc"
5,0,"strongMemoDag",18,"unary-cover-no-reassoc"
5,0,"strongMemoFinalActiveMaxRowDag",0,"unary-cover-no-reassoc"
5,0,"strongMemoFinalActiveRows",0,"unary-cover-no-reassoc"
5,4,"strongTree",474,"unary-cover-no-reassoc"
5,4,"strongMemoDag",49,"unary-cover-no-reassoc"
5,4,"strongMemoFinalActiveMaxRowDag",31,"unary-cover-no-reassoc"
5,4,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,8,"strongTree",730,"unary-cover-no-reassoc"
5,8,"strongMemoDag",63,"unary-cover-no-reassoc"
5,8,"strongMemoFinalActiveMaxRowDag",31,"unary-cover-no-reassoc"
5,8,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,12,"strongTree",771,"unary-cover-no-reassoc"
5,12,"strongMemoDag",64,"unary-cover-no-reassoc"
5,12,"strongMemoFinalActiveMaxRowDag",31,"unary-cover-no-reassoc"
5,12,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,16,"strongTree",820,"unary-cover-no-reassoc"
5,16,"strongMemoDag",72,"unary-cover-no-reassoc"
5,16,"strongMemoFinalActiveMaxRowDag",31,"unary-cover-no-reassoc"
5,16,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,20,"strongTree",875,"unary-cover-no-reassoc"
5,20,"strongMemoDag",66,"unary-cover-no-reassoc"
5,20,"strongMemoFinalActiveMaxRowDag",31,"unary-cover-no-reassoc"
5,20,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,24,"strongTree",918,"unary-cover-no-reassoc"
5,24,"strongMemoDag",68,"unary-cover-no-reassoc"
5,24,"strongMemoFinalActiveMaxRowDag",31,"unary-cover-no-reassoc"
5,24,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,28,"strongTree",908,"unary-cover-no-reassoc"
5,28,"strongMemoDag",74,"unary-cover-no-reassoc"
5,28,"strongMemoFinalActiveMaxRowDag",31,"unary-cover-no-reassoc"
5,28,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,32,"strongTree",858,"unary-cover-no-reassoc"
5,32,"strongMemoDag",69,"unary-cover-no-reassoc"
5,32,"strongMemoFinalActiveMaxRowDag",31,"unary-cover-no-reassoc"
5,32,"strongMemoFinalActiveRows",4,"unary-cover-no-reassoc"
5,36,"strongTree",906,"unary-cover-no-reassoc"
5,36,"strongMemoDag",75,"unary-cover-no-reassoc"
5,36,"strongMemoFinalActiveMaxRowDag",31,"unary-cover-no-reassoc"
5,36,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,40,"strongTree",918,"unary-cover-no-reassoc"
5,40,"strongMemoDag",72,"unary-cover-no-reassoc"
5,40,"strongMemoFinalActiveMaxRowDag",31,"unary-cover-no-reassoc"
5,40,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,44,"strongTree",959,"unary-cover-no-reassoc"
5,44,"strongMemoDag",70,"unary-cover-no-reassoc"
5,44,"strongMemoFinalActiveMaxRowDag",31,"unary-cover-no-reassoc"
5,44,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,48,"strongTree",903,"unary-cover-no-reassoc"
5,48,"strongMemoDag",69,"unary-cover-no-reassoc"
5,48,"strongMemoFinalActiveMaxRowDag",31,"unary-cover-no-reassoc"
5,48,"strongMemoFinalActiveRows",4,"unary-cover-no-reassoc"
5,52,"strongTree",947,"unary-cover-no-reassoc"
5,52,"strongMemoDag",76,"unary-cover-no-reassoc"
5,52,"strongMemoFinalActiveMaxRowDag",31,"unary-cover-no-reassoc"
5,52,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,56,"strongTree",947,"unary-cover-no-reassoc"
5,56,"strongMemoDag",78,"unary-cover-no-reassoc"
