k,n,metric,value,seqMode
5,0,"strongMemoTree",46,"unary-cover-no-reassoc"
5,0,"strongMemoFinalActiveRowDagUniverse",0,"unary-cover-no-reassoc"
5,0,"strongMemoFinalActiveComponentOwner",0,"unary-cover-no-reassoc"
5,0,"strongMemoFinalActivePayloadDag",0,"unary-cover-no-reassoc"
5,0,"strongMemoFinalActiveKeyDag",0,"unary-cover-no-reassoc"
5,0,"strongMemoFinalActiveRows",0,"unary-cover-no-reassoc"
5,0,"strongMemoFinalActivePairBudget",0,"unary-cover-no-reassoc"
5,4,"strongMemoTree",474,"unary-cover-no-reassoc"
5,4,"strongMemoFinalActiveRowDagUniverse",44,"unary-cover-no-reassoc"
5,4,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,4,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,4,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,4,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,4,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,8,"strongMemoTree",730,"unary-cover-no-reassoc"
5,8,"strongMemoFinalActiveRowDagUniverse",41,"unary-cover-no-reassoc"
5,8,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,8,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,8,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,8,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,8,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,12,"strongMemoTree",771,"unary-cover-no-reassoc"
5,12,"strongMemoFinalActiveRowDagUniverse",41,"unary-cover-no-reassoc"
5,12,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,12,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,12,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,12,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,12,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,16,"strongMemoTree",820,"unary-cover-no-reassoc"
5,16,"strongMemoFinalActiveRowDagUniverse",44,"unary-cover-no-reassoc"
5,16,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,16,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,16,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,16,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,16,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,20,"strongMemoTree",875,"unary-cover-no-reassoc"
5,20,"strongMemoFinalActiveRowDagUniverse",41,"unary-cover-no-reassoc"
5,20,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,20,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,20,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,20,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,20,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,24,"strongMemoTree",918,"unary-cover-no-reassoc"
5,24,"strongMemoFinalActiveRowDagUniverse",42,"unary-cover-no-reassoc"
5,24,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,24,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,24,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,24,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,24,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,28,"strongMemoTree",908,"unary-cover-no-reassoc"
5,28,"strongMemoFinalActiveRowDagUniverse",43,"unary-cover-no-reassoc"
5,28,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,28,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,28,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,28,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,28,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,32,"strongMemoTree",858,"unary-cover-no-reassoc"
5,32,"strongMemoFinalActiveRowDagUniverse",40,"unary-cover-no-reassoc"
5,32,"strongMemoFinalActiveComponentOwner",34,"unary-cover-no-reassoc"
5,32,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,32,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,32,"strongMemoFinalActiveRows",4,"unary-cover-no-reassoc"
5,32,"strongMemoFinalActivePairBudget",10,"unary-cover-no-reassoc"
5,36,"strongMemoTree",906,"unary-cover-no-reassoc"
5,36,"strongMemoFinalActiveRowDagUniverse",44,"unary-cover-no-reassoc"
5,36,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,36,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,36,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,36,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,36,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,40,"strongMemoTree",918,"unary-cover-no-reassoc"
5,40,"strongMemoFinalActiveRowDagUniverse",43,"unary-cover-no-reassoc"
5,40,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,40,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,40,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,40,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,40,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,44,"strongMemoTree",959,"unary-cover-no-reassoc"
5,44,"strongMemoFinalActiveRowDagUniverse",42,"unary-cover-no-reassoc"
5,44,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,44,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,44,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,44,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,44,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,48,"strongMemoTree",903,"unary-cover-no-reassoc"
5,48,"strongMemoFinalActiveRowDagUniverse",40,"unary-cover-no-reassoc"
5,48,"strongMemoFinalActiveComponentOwner",34,"unary-cover-no-reassoc"
5,48,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,48,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,48,"strongMemoFinalActiveRows",4,"unary-cover-no-reassoc"
5,48,"strongMemoFinalActivePairBudget",10,"unary-cover-no-reassoc"
5,52,"strongMemoTree",947,"unary-cover-no-reassoc"
5,52,"strongMemoFinalActiveRowDagUniverse",43,"unary-cover-no-reassoc"
5,52,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,52,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,52,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,52,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,52,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,56,"strongMemoTree",947,"unary-cover-no-reassoc"
5,56,"strongMemoFinalActiveRowDagUniverse",44,"unary-cover-no-reassoc"
5,56,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,56,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,56,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,56,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,56,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,60,"strongMemoTree",957,"unary-cover-no-reassoc"
5,60,"strongMemoFinalActiveRowDagUniverse",38,"unary-cover-no-reassoc"
5,60,"strongMemoFinalActiveComponentOwner",35,"unary-cover-no-reassoc"
5,60,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,60,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,60,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,60,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,64,"strongMemoTree",959,"unary-cover-no-reassoc"
5,64,"strongMemoFinalActiveRowDagUniverse",44,"unary-cover-no-reassoc"
5,64,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,64,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,64,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,64,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,64,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,68,"strongMemoTree",947,"unary-cover-no-reassoc"
5,68,"strongMemoFinalActiveRowDagUniverse",41,"unary-cover-no-reassoc"
5,68,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,68,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,68,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,68,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,68,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,72,"strongMemoTree",947,"unary-cover-no-reassoc"
5,72,"strongMemoFinalActiveRowDagUniverse",41,"unary-cover-no-reassoc"
5,72,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,72,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,72,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,72,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,72,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,76,"strongMemoTree",947,"unary-cover-no-reassoc"
5,76,"strongMemoFinalActiveRowDagUniverse",44,"unary-cover-no-reassoc"
5,76,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,76,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,76,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,76,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,76,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,80,"strongMemoTree",957,"unary-cover-no-reassoc"
5,80,"strongMemoFinalActiveRowDagUniverse",41,"unary-cover-no-reassoc"
5,80,"strongMemoFinalActiveComponentOwner",36,"unary-cover-no-reassoc"
5,80,"strongMemoFinalActivePayloadDag",20,"unary-cover-no-reassoc"
5,80,"strongMemoFinalActiveKeyDag",16,"unary-cover-no-reassoc"
5,80,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,80,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
8,0,"strongMemoTree",97,"unary-cover-no-reassoc"
8,0,"strongMemoFinalActiveRowDagUniverse",0,"unary-cover-no-reassoc"
8,0,"strongMemoFinalActiveComponentOwner",0,"unary-cover-no-reassoc"
8,0,"strongMemoFinalActivePayloadDag",0,"unary-cover-no-reassoc"
8,0,"strongMemoFinalActiveKeyDag",0,"unary-cover-no-reassoc"
8,0,"strongMemoFinalActiveRows",0,"unary-cover-no-reassoc"
8,0,"strongMemoFinalActivePairBudget",0,"unary-cover-no-reassoc"
8,4,"strongMemoTree",1164,"unary-cover-no-reassoc"
8,4,"strongMemoFinalActiveRowDagUniverse",83,"unary-cover-no-reassoc"
8,4,"strongMemoFinalActiveComponentOwner",63,"unary-cover-no-reassoc"
8,4,"strongMemoFinalActivePayloadDag",44,"unary-cover-no-reassoc"
8,4,"strongMemoFinalActiveKeyDag",25,"unary-cover-no-reassoc"
8,4,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
8,4,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
