k,n,metric,value,seqMode
5,0,"strongMemoTree",46,"full"
5,0,"strongMemoDag",18,"full"
5,0,"strongMemoFinalActiveRowDagUniverse",0,"full"
5,0,"strongMemoFinalActivePairBudget",0,"full"
5,4,"strongMemoTree",474,"full"
5,4,"strongMemoDag",49,"full"
5,4,"strongMemoFinalActiveRowDagUniverse",44,"full"
5,4,"strongMemoFinalActivePairBudget",17,"full"
5,8,"strongMemoTree",730,"full"
5,8,"strongMemoDag",63,"full"
5,8,"strongMemoFinalActiveRowDagUniverse",41,"full"
5,8,"strongMemoFinalActivePairBudget",17,"full"
5,12,"strongMemoTree",771,"full"
5,12,"strongMemoDag",64,"full"
5,12,"strongMemoFinalActiveRowDagUniverse",41,"full"
5,12,"strongMemoFinalActivePairBudget",17,"full"
5,16,"strongMemoTree",820,"full"
5,16,"strongMemoDag",72,"full"
5,16,"strongMemoFinalActiveRowDagUniverse",44,"full"
5,16,"strongMemoFinalActivePairBudget",17,"full"
5,20,"strongMemoTree",875,"full"
5,20,"strongMemoDag",66,"full"
5,20,"strongMemoFinalActiveRowDagUniverse",41,"full"
5,20,"strongMemoFinalActivePairBudget",17,"full"
5,24,"strongMemoTree",918,"full"
5,24,"strongMemoDag",68,"full"
5,24,"strongMemoFinalActiveRowDagUniverse",42,"full"
5,24,"strongMemoFinalActivePairBudget",17,"full"
5,28,"strongMemoTree",908,"full"
5,28,"strongMemoDag",74,"full"
5,28,"strongMemoFinalActiveRowDagUniverse",43,"full"
5,28,"strongMemoFinalActivePairBudget",17,"full"
5,32,"strongMemoTree",858,"full"
5,32,"strongMemoDag",69,"full"
5,32,"strongMemoFinalActiveRowDagUniverse",40,"full"
5,32,"strongMemoFinalActivePairBudget",10,"full"
5,36,"strongMemoTree",906,"full"
5,36,"strongMemoDag",75,"full"
5,36,"strongMemoFinalActiveRowDagUniverse",44,"full"
5,36,"strongMemoFinalActivePairBudget",17,"full"
5,40,"strongMemoTree",918,"full"
5,40,"strongMemoDag",72,"full"
5,40,"strongMemoFinalActiveRowDagUniverse",43,"full"
5,40,"strongMemoFinalActivePairBudget",17,"full"
5,44,"strongMemoTree",959,"full"
5,44,"strongMemoDag",70,"full"
5,44,"strongMemoFinalActiveRowDagUniverse",42,"full"
5,44,"strongMemoFinalActivePairBudget",17,"full"
5,48,"strongMemoTree",903,"full"
5,48,"strongMemoDag",69,"full"
5,48,"strongMemoFinalActiveRowDagUniverse",40,"full"
5,48,"strongMemoFinalActivePairBudget",10,"full"
5,52,"strongMemoTree",947,"full"
5,52,"strongMemoDag",76,"full"
5,52,"strongMemoFinalActiveRowDagUniverse",43,"full"
5,52,"strongMemoFinalActivePairBudget",17,"full"
5,56,"strongMemoTree",947,"full"
5,56,"strongMemoDag",78,"full"
5,56,"strongMemoFinalActiveRowDagUniverse",44,"full"
5,56,"strongMemoFinalActivePairBudget",17,"full"
5,60,"strongMemoTree",957,"full"
5,60,"strongMemoDag",69,"full"
5,60,"strongMemoFinalActiveRowDagUniverse",38,"full"
5,60,"strongMemoFinalActivePairBudget",17,"full"
5,64,"strongMemoTree",959,"full"
5,64,"strongMemoDag",72,"full"
5,64,"strongMemoFinalActiveRowDagUniverse",44,"full"
5,64,"strongMemoFinalActivePairBudget",17,"full"
5,68,"strongMemoTree",947,"full"
5,68,"strongMemoDag",72,"full"
5,68,"strongMemoFinalActiveRowDagUniverse",41,"full"
5,68,"strongMemoFinalActivePairBudget",17,"full"
5,72,"strongMemoTree",947,"full"
5,72,"strongMemoDag",72,"full"
5,72,"strongMemoFinalActiveRowDagUniverse",41,"full"
5,72,"strongMemoFinalActivePairBudget",17,"full"
5,76,"strongMemoTree",947,"full"
5,76,"strongMemoDag",77,"full"
5,76,"strongMemoFinalActiveRowDagUniverse",44,"full"
5,76,"strongMemoFinalActivePairBudget",17,"full"
5,80,"strongMemoTree",957,"full"
5,80,"strongMemoDag",69,"full"
5,80,"strongMemoFinalActiveRowDagUniverse",41,"full"
5,80,"strongMemoFinalActivePairBudget",17,"full"
8,0,"strongMemoTree",97,"full"
8,0,"strongMemoDag",27,"full"
8,0,"strongMemoFinalActiveRowDagUniverse",0,"full"
8,0,"strongMemoFinalActivePairBudget",0,"full"
8,4,"strongMemoTree",1164,"full"
8,4,"strongMemoDag",85,"full"
8,4,"strongMemoFinalActiveRowDagUniverse",83,"full"
8,4,"strongMemoFinalActivePairBudget",17,"full"
8,8,"strongMemoTree",1816,"full"
8,8,"strongMemoDag",108,"full"
8,8,"strongMemoFinalActiveRowDagUniverse",97,"full"
8,8,"strongMemoFinalActivePairBudget",65,"full"
8,12,"strongMemoTree",2269,"full"
8,12,"strongMemoDag",112,"full"
8,12,"strongMemoFinalActiveRowDagUniverse",90,"full"
8,12,"strongMemoFinalActivePairBudget",65,"full"
8,16,"strongMemoTree",2691,"full"
8,16,"strongMemoDag",137,"full"
8,16,"strongMemoFinalActiveRowDagUniverse",95,"full"
8,16,"strongMemoFinalActivePairBudget",65,"full"
8,20,"strongMemoTree",2641,"full"
8,20,"strongMemoDag",117,"full"
8,20,"strongMemoFinalActiveRowDagUniverse",90,"full"
8,20,"strongMemoFinalActivePairBudget",65,"full"
8,24,"strongMemoTree",2778,"full"
8,24,"strongMemoDag",124,"full"
8,24,"strongMemoFinalActiveRowDagUniverse",91,"full"
8,24,"strongMemoFinalActivePairBudget",65,"full"
8,28,"strongMemoTree",2642,"full"
8,28,"strongMemoDag",120,"full"
8,28,"strongMemoFinalActiveRowDagUniverse",91,"full"
8,28,"strongMemoFinalActivePairBudget",50,"full"
8,32,"strongMemoTree",2879,"full"
8,32,"strongMemoDag",129,"full"
8,32,"strongMemoFinalActiveRowDagUniverse",91,"full"
8,32,"strongMemoFinalActivePairBudget",65,"full"
8,36,"strongMemoTree",2837,"full"
8,36,"strongMemoDag",128,"full"
8,36,"strongMemoFinalActiveRowDagUniverse",96,"full"
8,36,"strongMemoFinalActivePairBudget",65,"full"
8,40,"strongMemoTree",2968,"full"
8,40,"strongMemoDag",127,"full"
8,40,"strongMemoFinalActiveRowDagUniverse",93,"full"
8,40,"strongMemoFinalActivePairBudget",65,"full"
8,44,"strongMemoTree",2932,"full"
8,44,"strongMemoDag",134,"full"
8,44,"strongMemoFinalActiveRowDagUniverse",90,"full"
8,44,"strongMemoFinalActivePairBudget",65,"full"
8,48,"strongMemoTree",2963,"full"
8,48,"strongMemoDag",123,"full"
8,48,"strongMemoFinalActiveRowDagUniverse",90,"full"
8,48,"strongMemoFinalActivePairBudget",50,"full"
8,52,"strongMemoTree",3035,"full"
8,52,"strongMemoDag",143,"full"
8,52,"strongMemoFinalActiveRowDagUniverse",92,"full"
8,52,"strongMemoFinalActivePairBudget",65,"full"
8,56,"strongMemoTree",3060,"full"
8,56,"strongMemoDag",128,"full"
8,56,"strongMemoFinalActiveRowDagUniverse",93,"full"
8,56,"strongMemoFinalActivePairBudget",50,"full"
8,60,"strongMemoTree",3120,"full"
8,60,"strongMemoDag",124,"full"
8,60,"strongMemoFinalActiveRowDagUniverse",90,"full"
8,60,"strongMemoFinalActivePairBudget",65,"full"
8,64,"strongMemoTree",3245,"full"
8,64,"strongMemoDag",133,"full"
8,64,"strongMemoFinalActiveRowDagUniverse",97,"full"
8,64,"strongMemoFinalActivePairBudget",65,"full"
8,68,"strongMemoTree",3213,"full"
8,68,"strongMemoDag",130,"full"
8,68,"strongMemoFinalActiveRowDagUniverse",90,"full"
8,68,"strongMemoFinalActivePairBudget",65,"full"
8,72,"strongMemoTree",3241,"full"
8,72,"strongMemoDag",136,"full"
8,72,"strongMemoFinalActiveRowDagUniverse",91,"full"
8,72,"strongMemoFinalActivePairBudget",65,"full"
8,76,"strongMemoTree",3227,"full"
8,76,"strongMemoDag",141,"full"
8,76,"strongMemoFinalActiveRowDagUniverse",94,"full"
8,76,"strongMemoFinalActivePairBudget",65,"full"
8,80,"strongMemoTree",3233,"full"
8,80,"strongMemoDag",133,"full"
8,80,"strongMemoFinalActiveRowDagUniverse",91,"full"
8,80,"strongMemoFinalActivePairBudget",65,"full"
