k,n,metric,value,seqMode
1,0,"strongTree",6,"unary-cover-no-reassoc"
1,0,"cubicTree",6,"unary-cover-no-reassoc"
1,0,"sharedShapeStatePool",6,"unary-cover-no-reassoc"
1,0,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,1,"strongTree",2,"unary-cover-no-reassoc"
1,1,"cubicTree",11,"unary-cover-no-reassoc"
1,1,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,1,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,2,"strongTree",2,"unary-cover-no-reassoc"
1,2,"cubicTree",11,"unary-cover-no-reassoc"
1,2,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,2,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,3,"strongTree",2,"unary-cover-no-reassoc"
1,3,"cubicTree",11,"unary-cover-no-reassoc"
1,3,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,3,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,4,"strongTree",2,"unary-cover-no-reassoc"
1,4,"cubicTree",11,"unary-cover-no-reassoc"
1,4,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,4,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,5,"strongTree",2,"unary-cover-no-reassoc"
1,5,"cubicTree",11,"unary-cover-no-reassoc"
1,5,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,5,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,6,"strongTree",2,"unary-cover-no-reassoc"
1,6,"cubicTree",11,"unary-cover-no-reassoc"
1,6,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,6,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,7,"strongTree",2,"unary-cover-no-reassoc"
1,7,"cubicTree",11,"unary-cover-no-reassoc"
1,7,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,7,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,8,"strongTree",2,"unary-cover-no-reassoc"
1,8,"cubicTree",11,"unary-cover-no-reassoc"
1,8,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,8,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,9,"strongTree",2,"unary-cover-no-reassoc"
1,9,"cubicTree",11,"unary-cover-no-reassoc"
1,9,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,9,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,10,"strongTree",2,"unary-cover-no-reassoc"
1,10,"cubicTree",11,"unary-cover-no-reassoc"
1,10,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,10,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,11,"strongTree",2,"unary-cover-no-reassoc"
1,11,"cubicTree",11,"unary-cover-no-reassoc"
1,11,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,11,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,12,"strongTree",2,"unary-cover-no-reassoc"
1,12,"cubicTree",11,"unary-cover-no-reassoc"
1,12,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,12,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,13,"strongTree",2,"unary-cover-no-reassoc"
1,13,"cubicTree",11,"unary-cover-no-reassoc"
1,13,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
1,13,"langContPruneShapeStatePool",3,"unary-cover-no-reassoc"
1,14,"strongTree",2,"unary-cover-no-reassoc"
1,14,"cubicTree",11,"unary-cover-no-reassoc"
1,14,"sharedShapeStatePool",11,"unary-cover-no-reassoc"
