k,n,metric,value,seqMode
5,4,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,4,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,4,"strongMemoFinalActiveMaxRowSize",126,"unary-cover-no-reassoc"
5,4,"strongMemoTree",474,"unary-cover-no-reassoc"
5,4,"strongMemoDag",49,"unary-cover-no-reassoc"
5,8,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,8,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,8,"strongMemoFinalActiveMaxRowSize",126,"unary-cover-no-reassoc"
5,8,"strongMemoTree",730,"unary-cover-no-reassoc"
5,8,"strongMemoDag",63,"unary-cover-no-reassoc"
5,12,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,12,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,12,"strongMemoFinalActiveMaxRowSize",126,"unary-cover-no-reassoc"
5,12,"strongMemoTree",771,"unary-cover-no-reassoc"
5,12,"strongMemoDag",64,"unary-cover-no-reassoc"
5,16,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,16,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,16,"strongMemoFinalActiveMaxRowSize",126,"unary-cover-no-reassoc"
5,16,"strongMemoTree",820,"unary-cover-no-reassoc"
5,16,"strongMemoDag",72,"unary-cover-no-reassoc"
5,20,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,20,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,20,"strongMemoFinalActiveMaxRowSize",126,"unary-cover-no-reassoc"
5,20,"strongMemoTree",875,"unary-cover-no-reassoc"
5,20,"strongMemoDag",66,"unary-cover-no-reassoc"
5,24,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,24,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,24,"strongMemoFinalActiveMaxRowSize",126,"unary-cover-no-reassoc"
5,24,"strongMemoTree",918,"unary-cover-no-reassoc"
5,24,"strongMemoDag",68,"unary-cover-no-reassoc"
5,28,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
5,28,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
5,28,"strongMemoFinalActiveMaxRowSize",126,"unary-cover-no-reassoc"
5,28,"strongMemoTree",908,"unary-cover-no-reassoc"
5,28,"strongMemoDag",74,"unary-cover-no-reassoc"
5,32,"strongMemoFinalActiveRows",4,"unary-cover-no-reassoc"
5,32,"strongMemoFinalActivePairBudget",10,"unary-cover-no-reassoc"
5,32,"strongMemoFinalActiveMaxRowSize",126,"unary-cover-no-reassoc"
5,32,"strongMemoTree",858,"unary-cover-no-reassoc"
5,32,"strongMemoDag",69,"unary-cover-no-reassoc"
8,4,"strongMemoFinalActiveRows",5,"unary-cover-no-reassoc"
8,4,"strongMemoFinalActivePairBudget",17,"unary-cover-no-reassoc"
8,4,"strongMemoFinalActiveMaxRowSize",297,"unary-cover-no-reassoc"
8,4,"strongMemoTree",1164,"unary-cover-no-reassoc"
8,4,"strongMemoDag",85,"unary-cover-no-reassoc"
8,8,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,8,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,8,"strongMemoFinalActiveMaxRowSize",297,"unary-cover-no-reassoc"
8,8,"strongMemoTree",1816,"unary-cover-no-reassoc"
8,8,"strongMemoDag",108,"unary-cover-no-reassoc"
8,12,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,12,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,12,"strongMemoFinalActiveMaxRowSize",297,"unary-cover-no-reassoc"
8,12,"strongMemoTree",2269,"unary-cover-no-reassoc"
8,12,"strongMemoDag",112,"unary-cover-no-reassoc"
8,16,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,16,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,16,"strongMemoFinalActiveMaxRowSize",297,"unary-cover-no-reassoc"
8,16,"strongMemoTree",2691,"unary-cover-no-reassoc"
8,16,"strongMemoDag",137,"unary-cover-no-reassoc"
8,20,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,20,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,20,"strongMemoFinalActiveMaxRowSize",297,"unary-cover-no-reassoc"
8,20,"strongMemoTree",2641,"unary-cover-no-reassoc"
8,20,"strongMemoDag",117,"unary-cover-no-reassoc"
8,24,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,24,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,24,"strongMemoFinalActiveMaxRowSize",297,"unary-cover-no-reassoc"
8,24,"strongMemoTree",2778,"unary-cover-no-reassoc"
8,24,"strongMemoDag",124,"unary-cover-no-reassoc"
8,28,"strongMemoFinalActiveRows",8,"unary-cover-no-reassoc"
8,28,"strongMemoFinalActivePairBudget",50,"unary-cover-no-reassoc"
8,28,"strongMemoFinalActiveMaxRowSize",297,"unary-cover-no-reassoc"
8,28,"strongMemoTree",2642,"unary-cover-no-reassoc"
8,28,"strongMemoDag",120,"unary-cover-no-reassoc"
8,32,"strongMemoFinalActiveRows",9,"unary-cover-no-reassoc"
8,32,"strongMemoFinalActivePairBudget",65,"unary-cover-no-reassoc"
8,32,"strongMemoFinalActiveMaxRowSize",297,"unary-cover-no-reassoc"
8,32,"strongMemoTree",2879,"unary-cover-no-reassoc"
8,32,"strongMemoDag",129,"unary-cover-no-reassoc"
